time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,waited_ms,workload
11329.684,wf-chat-light-0009,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,40,,,,,,,,,,,,,,,chat-light
11707.695,wf-chat-light-0010,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,61,,,,,,,,,,,,,,,chat-light
12380.236,wf-tool-heavy-0053,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,209,,,,,,,,,,,,,,,tool-heavy
13478.381,wf-chat-light-0011,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,81,,,,,,,,,,,,,,,chat-light
15213.500,wf-chat-light-0012,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,59,,,,,,,,,,,,,,,chat-light
15340.126,wf-tool-heavy-0054,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,140,,,,,,,,,,,,,,,tool-heavy
18006.270,wf-chat-light-0013,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,44,,,,,,,,,,,,,,,chat-light
21411.537,wf-chat-light-0014,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,48,,,,,,,,,,,,,,,chat-light
22493.033,wf-chat-light-0015,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,47,,,,,,,,,,,,,,,chat-light
22857.296,wf-tool-heavy-0055,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,291,,,,,,,,,,,,,,,tool-heavy
28478.911,wf-chat-light-0016,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,13,,,,,,,,,,,,,,,chat-light
30655.661,wf-tool-heavy-0056,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,116,,,,,,,,,,,,,,,tool-heavy
31913.980,wf-chat-light-0017,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,78,,,,,,,,,,,,,,,chat-light
32807.351,wf-chat-light-0018,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,23,,,,,,,,,,,,,,,chat-light
33948.011,wf-chat-light-0019,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,10,,,,,,,,,,,,,,,chat-light
35214.082,wf-chat-light-0020,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,17,,,,,,,,,,,,,,,chat-light
36635.526,wf-tool-heavy-0057,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,86,,,,,,,,,,,,,,,tool-heavy
37630.954,wf-tool-heavy-0058,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,282,,,,,,,,,,,,,,,tool-heavy
38726.740,wf-chat-light-0021,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,45,,,,,,,,,,,,,,,chat-light
39960.248,wf-chat-light-0022,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,55,,,,,,,,,,,,,,,chat-light
40618.845,wf-chat-light-0023,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,40,,,,,,,,,,,,,,,chat-light
43379.432,wf-tool-heavy-0059,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,294,,,,,,,,,,,,,,,tool-heavy
44634.007,wf-chat-light-0024,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,40,,,,,,,,,,,,,,,chat-light
45612.152,wf-tool-heavy-0060,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,268,,,,,,,,,,,,,,,tool-heavy
45967.371,wf-chat-light-0025,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,28,,,,,,,,,,,,,,,chat-light
47107.444,wf-tool-heavy-0061,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,226,,,,,,,,,,,,,,,tool-heavy
48374.374,wf-chat-light-0026,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,87,,,,,,,,,,,,,,,chat-light
48491.219,wf-tool-heavy-0062,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,239,,,,,,,,,,,,,,,tool-heavy
49132.006,wf-chat-light-0027,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,71,,,,,,,,,,,,,,,chat-light
53221.022,wf-tool-heavy-0063,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,307,,,,,,,,,,,,,,,tool-heavy
53240.561,wf-chat-light-0028,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,11,,,,,,,,,,,,,,,chat-light
56517.584,wf-chat-light-0029,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,78,,,,,,,,,,,,,,,chat-light
58199.283,wf-tool-heavy-0064,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,204,,,,,,,,,,,,,,,tool-heavy
58907.271,wf-chat-light-0030,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,20,,,,,,,,,,,,,,,chat-light
