time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,workload
28221.591,wf-tool-heavy-0054,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.00355,GENERATE_TEXT,,,,agent-shared-infra-57,1.0416666666666667,,,,170,,0.0,,,,,,,,,,,
28221.591,wf-tool-heavy-0054,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
28222.633,wf-tool-heavy-0054,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-57,,,,,,,,,,,,,,,,,,
28222.633,wf-tool-heavy-0054,agent-shared,LLM_DISPATCH,32651.035005310798,,0.00355,GENERATE_TEXT,,,4428.402148725741,,,,0.0,0.0,170,,,,,,,,,,,,,
28478.911,wf-chat-light-0016,agent-shared,AGENT_RECEIVE,,,,,,,,,,13,,,,,,,,13,1,,,,,,,
28478.911,wf-chat-light-0016,agent-shared,INFRA_SUBMIT,,1.0416666666666667,9.625E-4,GENERATE_TEXT,,,,agent-shared-infra-58,1.0416666666666667,,,,93,,0.0,,,,,,,,,,,
28479.953,wf-chat-light-0016,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-58,,,,,,,,,,,,,,,,,,
28479.953,wf-chat-light-0016,agent-shared,LLM_DISPATCH,31796.964649002733,,9.625E-4,GENERATE_TEXT,,,3317.0119678693154,,,,0.0,0.0,93,,,,,,,,,,,,,
28568.794,wf-chat-light-0012,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,155,,,,,,,,search-tool,,,,,
28568.794,wf-chat-light-0012,agent-shared,TOOL_DISPATCH,28668.41220152197,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,99.61869990708627,,,
28668.412,wf-chat-light-0012,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,959,4,,,,,,,
